car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
KIA,K8,7770.947435285583,1598.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,6101196.429831853,6059002.0,3.0,0.0
TOYOTA,PRIUS,87787.43299514944,1800.0,automatic transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,0,1,0,0,0,0,0,0,2019.0,2275173.2415720406,2271124.0,6.0,1.0
MERCEDES,CLS CLASS,57946.06849811115,2999.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,8920530.036945425,8673237.0,5.0,1.0
KIA,STINGER,48362.53332671289,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,5439985.178856356,5529811.0,3.0,0.0
MERCEDES,E CLASS,93781.18901911056,1991.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,5349860.3819440175,4867458.0,8.0,1.0
BMW,5 SERIES,68057.6205486937,1995.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,6079551.043775561,6043770.0,3.0,1.0
BMW,X5 XDRIVE 35D,20754.81671386908,3000.0,automatic transmission,Hybrid,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,5354047.250502024,4883891.0,2.0,0.0
TOYOTA,FORTUNER 2.8 TRD SPORTIVO BLACK TOP 4WD,66719.21646291793,2800.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2017.0,6814292.468734636,6298473.0,8.0,1.0
TOYOTA,CROWN HYBRID,14235.746001332376,2500.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,4 Doors,sedan,0,1,0,1,0,0,0,1,2018.0,4462524.678583311,4691428.0,7.0,0.0
TOYOTA,FORTUNER 2.8 V 4WD,104310.69897769357,2800.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2018.0,5962627.389719219,5701759.0,7.0,2.0
KIA,K9 THE K9(RJ),96015.66853866262,900.0,automatic transmission,Petrol,LHD,Other,4 Seats,4 Doors,sedan,0,0,0,0,0,0,0,0,2019.0,4616885.8417795645,4883891.0,6.0,1.0
BMW,X6,17351.210885043616,2993.0,automatic transmission,Hybrid,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,10825822.12162004,11762018.0,4.0,0.0
BMW,X4,22339.539119732788,2000.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2018.0,4871578.8700380735,5154509.0,7.0,0.0
KIA,K7,59627.77942290768,2359.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,4764129.335048021,4493099.0,6.0,1.0
